GOAL68 true:0.7263 false:0.2737 
RESOLVE37 true:0.4041 false:0.5959 
RESOLVE38 true:0.5567 false:0.4433 
GOAL66 true:0.3738 false:0.6262 
VECTOR69 true:0.2727 false:0.7273 
FIND49 true:0.4661 false:0.5339 
IDENTIFY10 true:0.5338 false:0.4662 
VAR20 true:0.7357 false:0.2643 
IDENTIFY9 true:0.5437 false:0.4563 
COMPO16 true:0.9596 false:0.0404 
VELOCITY7 true:0.3718 false:0.6282 
SLIDING4 true:0.9899 false:0.0101 
DISPLACEM0 true:0.4748 false:0.5252 
EQUATION28 true:0.3962 false:0.6038 
SNode_19 true:0.9596 false:0.0404 
SNode_18 true:0.9596 false:0.0404 
VECTOR73 true:0.3965 false:0.6035 
SNode_17 true:0.9899 false:0.0101 
SYSTEM18 true:0.6465 false:0.3535 
IDENTIFY39 true:0.4445 false:0.5555 
FORCE60 true:0.7374 false:0.2626 
CHOOSE62 true:0.5858 false:0.4142 
RApp2 true:1 
DEFINE23 true:0.4109 false:0.5891 
MAXIMIZE34 true:0.4747 false:0.5253 
IDENTIFY43 true:0.4681 false:0.5319 
TRY12 true:0.0606 false:0.9394 
SNode_9 true:0.9798 false:0.0202 
SNode_6 true:0.9899 false:0.0101 
NORMAL52 true:0.9091 false:0.0909 
APPLY32 true:0.5314 false:0.4686 
WRITE64 true:0.5414 false:0.4586 
WRITE63 true:0.4849 false:0.5151 
SUM75 true:0.4386 false:0.5614 
NEWTONS45 true:0.3896 false:0.6104 
CONSTANT5 true:0.9798 false:0.0202 
WEIGHT57 true:0.6318 false:0.3682 
CHOOSE35 true:0.5703 false:0.4297 
GRAV2 true:0.3536 false:0.6464 
SNode_20 true:0.2121 false:0.7879 
SNode_21 true:0.2171 false:0.7829 
SNode_24 true:0.1717 false:0.8283 
EQUAL71 true:0.6768 false:0.3232 
HORIZ53 true:0.8586 false:0.1414 
INCLINE51 true:0.7825 false:0.2175 
SNode_92 true:0.0909 false:0.9091 
GOAL_48 true:0.9495 false:0.0505 
RApp1 true:0.3895 false:0.6105 
TRY15 true:0.1717 false:0.8283 
TRY14 true:0.2121 false:0.7879 
TRY13 true:0.2989 false:0.7011 
TRY24 true:1 
GOAL_50 true:0.0707 false:0.9293 
GOAL_53 true:0.0808 false:0.9192 
SNode_44 true:0.2828 false:0.7172 
SNode_54 true:0.1681 false:0.8319 
SNode_59 true:0.2389 false:0.7611 
SNode_28 true:0.2762 false:0.7238 
SNode_29 true:0.3131 false:0.6869 
GOAL_69 true:0.0606 false:0.9394 
GOAL_72 true:0.1686 false:0.8314 
SNode_73 true:0.4111 false:0.5889 
SNode_65 true:0.4242 false:0.5758 
SNode_75 true:0.1919 false:0.8081 
RApp6 true:0.8283 false:0.1717 
GOAL_81 true:0.7576 false:0.2424 
GOAL_83 true:0.8788 false:0.1212 
GOAL_87 true:0.3737 false:0.6263 
GOAL_98 true:0.0707 false:0.9293 
GOAL_99 true:0.2222 false:0.7778 
SNode_37 true:0.1212 false:0.8788 
SNode_38 true:0.2728 false:0.7272 
SNode_93 true:0.1434 false:0.8566 
SNode_100 true:0.1818 false:0.8182 
SNode_95 true:0.6482 false:0.3518 
GOAL_103 true:0.1297 false:0.8703 
SNode_152 true:0.394 false:0.606 
GOAL_107 true:0.1717 false:0.8283 
GOAL_108 true:0.2209 false:0.7791 
GOAL_153 true:0.1919 false:0.8081 
RApp9 true:0.0303 false:0.9697 
GOAL_126 true:0.1414 false:0.8586 
GOAL_111 true:0.2626 false:0.7374 
GOAL_114 true:0.7483 false:0.2517 
RApp10 true:0.1205 false:0.8795 
SNode_128 true:0.2923 false:0.7077 
SNode_154 true:0.1818 false:0.8182 
RApp8 true:0.2222 false:0.7778 
GOAL_129 true:0.2323 false:0.7677 
GOAL_113 true:0.9293 false:0.0707 
SNode_137 true:0.2728 false:0.7272 
SNode_155 true:0.2323 false:0.7677 
SNode_125 true:0.2525 false:0.7475 
SNode_133 true:0.3333 false:0.6667 
RApp11 true:0.0811 false:0.9189 
SNode_134 true:0.2623 false:0.7377 
